Name,Charakter Pipeline,Design Skelett,Einzigartig,Element,Erstellt von,Erstellungsdatum,Flavourtext,ID,Idee Brackground,Kartenart,Kartentext,Kartentext-Planung,Kartentyp,Kosten Aeris,Kosten Aqua,Kosten Ignis,Kosten Magica,Kosten Terra,Kosten Ungeprägt,Letzte Änderung,Rarität,Set Release,Slot zugewiesen,Status,⚔️,⭕️,🛡️
Verrückter Narr,,,No,,Tim,"September 14, 2023 9:44 PM",,84,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,"Als zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten, wirf eine Karte ab (https://www.notion.so/ab-3f245ce4bda845e09078a709034e2907?pvs=21). Wenn Verrückter Narr (https://www.notion.so/Verr-ckter-Narr-02913adc5fa14825a0b85eb99b7cc5f2?pvs=21) angreift und überlebt, zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)e eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21). Verrückter Narr (https://www.notion.so/Verr-ckter-Narr-02913adc5fa14825a0b85eb99b7cc5f2?pvs=21) muss jeden Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) angreifen.",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,30,,20
Funkensprung,,,No,,Tim,"September 14, 2023 9:51 PM",,85,Erste Ideen,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),,"zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)e Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n mit insgesamt bis zu 20*x Verteidigungswert (https://www.notion.so/Verteidigungswert-e67635d2fccf454d85d29b869ee8b6ff?pvs=21), wobei x die Anzahl aller in diesem Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) abgeworfenen Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n ist. ",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,
"Wie du mir, so ich dir",,,No,,Tim,"September 14, 2023 9:56 PM",,86,Erste Ideen,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),,"sofort (https://www.notion.so/sofort-9c56f076fccf4157b07459dd557d86d7?pvs=21) spielbar. Wiederhole den Effekt der soeben vom Untitled (https://www.notion.so/38d8865e0868489d84eed7aab3fdb7d3?pvs=21) gespielten Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21), wobei Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u das neue Ziel definierst.",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,
Flammengeist,,,No,,Tim,"September 14, 2023 10:00 PM",,88,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,"zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)e für jede ab (https://www.notion.so/ab-3f245ce4bda845e09078a709034e2907?pvs=21)geworfene Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) eine neue. ",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,25,,15
Trümmerfeld,,,No,,Tim,"September 14, 2023 10:03 PM",,89,Erste Ideen,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),,"Statt eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) auf den Friedhof (https://www.notion.so/Friedhof-e253bfb78fc24f27b12562f1a8bd6a5f?pvs=21) zu legen, lege sie als unterstes unter Trümmerfeld (https://www.notion.so/Tr-mmerfeld-ba3f0690c7474aed932be7426ee6177a?pvs=21). Immer wenn du eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) ziehst, darfst du aussuchen, ob du von deinem Deck (https://www.notion.so/Deck-12e336df2ea64e2194cabce2e4d93d61?pvs=21), oder vom Trümmerfeld (https://www.notion.so/Tr-mmerfeld-ba3f0690c7474aed932be7426ee6177a?pvs=21) ziehst. Wenn Trümmerfeld (https://www.notion.so/Tr-mmerfeld-ba3f0690c7474aed932be7426ee6177a?pvs=21) zerstört wird, lege alle darunterliegenden Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n auf den Friedhof (https://www.notion.so/Friedhof-e253bfb78fc24f27b12562f1a8bd6a5f?pvs=21).",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,40
Feuersalamander,,,No,,Tim,"September 14, 2023 10:15 PM",,90,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,"sofort (https://www.notion.so/sofort-9c56f076fccf4157b07459dd557d86d7?pvs=21) spielbar. Wenn Feuersalamander (https://www.notion.so/Feuersalamander-2f7b188a88b0419e9d29d0f4a79b74a4?pvs=21) von einem Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21)  ﻿zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)t wird, wird der zerstörende @ gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21).",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,10,,10
Brandmarkender Eid,,,No,,Tim,"September 14, 2023 10:25 PM",,91,Erste Ideen,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),,"Alle Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)eine Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) werden gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21) (Wenn sie zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)t werden, zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)t der Zerstörende eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)). zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21) eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) für jeden gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21)en Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21). ",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,
Gebrandmarkter Krieger,,,No,,Tim,"September 14, 2023 10:31 PM",,92,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,"Ist gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21). ",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,45,,40
Gebrandmarkter Truppenführer,,,No,,Tim,"September 14, 2023 10:31 PM",,93,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,"Ist gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21). Als zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten, wird eine anderer verbündet (https://www.notion.so/verb-ndet-76b6117405774f5ba575df0e30e1fca6?pvs=21)er Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21).",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,45,,45
Den Flammen entkommen,,,No,,Tim,"September 14, 2023 10:36 PM",,94,Erste Ideen,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),,"Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u musst für die nächste Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21), die Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u in diesem Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) spiel (https://www.notion.so/spiel-b5c878a58a374f5282838f3bb3b69799?pvs=21)st, die zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)en Kosten nicht bezahlen.",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,
Finger verbrannt,,,No,,Tim,"September 14, 2023 10:40 PM",,95,Erste Ideen,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),,Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u musst nicht mehr als 3 Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n in einer Runde (https://www.notion.so/Runde-d203b45604604e129e5015129b597641?pvs=21) abwerfen.,,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,40
Flammenbiest,,,No,,Tim,"September 14, 2023 10:43 PM",,97,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,"Als zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten, zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)e eine verbündet (https://www.notion.so/verb-ndet-76b6117405774f5ba575df0e30e1fca6?pvs=21)e Untitled (https://www.notion.so/bafefdffb74944b09dc4f9de10183b2d?pvs=21).",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,70,,60
Alternativer Schmerz,,,No,,Tim,"September 14, 2023 10:44 PM",,98,Erste Ideen,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),,"Statt für eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten zu bezahlen, werfe stattdessen eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) ab (https://www.notion.so/ab-3f245ce4bda845e09078a709034e2907?pvs=21). Wenn das passiert, zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)e Alternativer Schmerz (https://www.notion.so/Alternativer-Schmerz-40034790a31740ae80f341b477bf84b4?pvs=21).",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,30
Brandeisenschmied,,,No,,Tim,"September 14, 2023 10:51 PM",,99,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,"Immer wenn Brandeisenschmied (https://www.notion.so/Brandeisenschmied-195f78aa5bbe42e6b22ce3371b769d1c?pvs=21) verteidig (https://www.notion.so/verteidig-839e6f9d7cbd46cebaa3c27a3d39a179?pvs=21)t, muss ein nicht-gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21)er Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21)  gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21) werden. Wenn alle Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21) sind, kann Brandeisenschmied (https://www.notion.so/Brandeisenschmied-195f78aa5bbe42e6b22ce3371b769d1c?pvs=21) nicht verteidig (https://www.notion.so/verteidig-839e6f9d7cbd46cebaa3c27a3d39a179?pvs=21)en. ",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,20,,40
Feuersturm,,,No,,Tim,"September 14, 2023 10:59 PM",,100,Erste Ideen,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),,"Alle gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21)en Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) werden zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)t, ohne dass jemand eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)t.",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,
Pech und Schwefel,,,No,,Tim,"September 14, 2023 11:11 PM",,101,Erste Ideen,Untitled (https://www.notion.so/eff2926a20744f63b63ea77a6d71edd9?pvs=21),,"- Wirf 3 oder mehr Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n in einem Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) ab (https://www.notion.so/ab-3f245ce4bda845e09078a709034e2907?pvs=21) → Mische die obersten 10 Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n deines Friedhof (https://www.notion.so/Friedhof-e253bfb78fc24f27b12562f1a8bd6a5f?pvs=21)s in dein Deck (https://www.notion.so/Deck-12e336df2ea64e2194cabce2e4d93d61?pvs=21).
- 3 oder mehr Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21)e sind gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21) → spiel (https://www.notion.so/spiel-b5c878a58a374f5282838f3bb3b69799?pvs=21)e eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) und bezahle weder ihre Elementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21), noch ihre zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)en Kosten.",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,60
Weltenbrand (alt),,,No,,Tim,"September 14, 2023 11:12 PM",,102,Erste Ideen,Untitled (https://www.notion.so/3982764085c2477e827623c38aec8f98?pvs=21),,"1. Eine gewählter Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) ist diese Runde (https://www.notion.so/Runde-d203b45604604e129e5015129b597641?pvs=21) ohnmächtig (https://www.notion.so/ohnm-chtig-052e31a81ae24fb5ac51512957908c0d?pvs=21).
2. Spiele Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n für ihre doppelten Elementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21), ohne ihre zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)en Kosten zu bezahlen .
3. Alle gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21)en Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21)e haben diese Runde (https://www.notion.so/Runde-d203b45604604e129e5015129b597641?pvs=21) +30/+30",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,50
Selbsterkorener Prometheus,,,No,,Tim,"September 14, 2023 11:33 PM",,103,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,"Als zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten, nimm eine Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)einer Untitled (https://www.notion.so/2b9adcd059614612bb0133aece543b8a?pvs=21)n auf die Hand (https://www.notion.so/Hand-02eed85235d546fc8cd87be30bc8b7c8?pvs=21), Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u darfst sie diesen Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) ohne Elementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21) und ohne zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten spiel (https://www.notion.so/spiel-b5c878a58a374f5282838f3bb3b69799?pvs=21)en. Wenn Selbsterkorener Prometheus (https://www.notion.so/Selbsterkorener-Prometheus-996b38739c594a9bba6b9daa3bb30e58?pvs=21) einen gegnerisch (https://www.notion.so/gegnerisch-459fafb1da0340bcb0744267999f295f?pvs=21)en Untitled (https://www.notion.so/4df17cf9d68c430e89f3337925f15637?pvs=21) zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)t, darfst Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u eine weitere Untitled (https://www.notion.so/2b9adcd059614612bb0133aece543b8a?pvs=21) spielen.",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,30,,40
Feueressenz,,,No,,Tim,"September 14, 2023 11:41 PM",,104,Erste Ideen,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),,"Nimm eine Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)einer Untitled (https://www.notion.so/2b9adcd059614612bb0133aece543b8a?pvs=21)n auf die Hand (https://www.notion.so/Hand-02eed85235d546fc8cd87be30bc8b7c8?pvs=21). Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u darfst sie diesen Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) ohne Elementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21) und ohne zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten spiel (https://www.notion.so/spiel-b5c878a58a374f5282838f3bb3b69799?pvs=21)en. ",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,
Gluthund,,,No,,Tim,"September 15, 2023 11:05 AM",,106,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,"Als zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten, zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)e einen verbündet (https://www.notion.so/verb-ndet-76b6117405774f5ba575df0e30e1fca6?pvs=21)en Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21). Nachdem Gluthund (https://www.notion.so/Gluthund-362ad239195a446f81ee6d00b30c0911?pvs=21) zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)t wird, zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)e einen gegnerisch (https://www.notion.so/gegnerisch-459fafb1da0340bcb0744267999f295f?pvs=21)en Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21).",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,40,,30
Funkenstürmer,,,No,,Tim,"September 15, 2023 11:21 AM",,107,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,"Als zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten, bezahle 2 Elementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21) dazu.",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,25,,35
Auflodern,,,No,,Tim,"September 15, 2023 11:24 AM",,108,Erste Ideen,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),,"zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21) eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21). Wenn sie zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten hat, wiederhole den Effekt.",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,
Überläufer,,,No,,Tim,"September 15, 2023 11:27 AM",,109,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,"Wenn Überläufer (https://www.notion.so/berl-ufer-c96986e601df48bb8a8ea21bbde21b92?pvs=21) von einem Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) zerstört würde, wechselt er stattdessen seinen Besitzer zum zerstörenden Spieler. Wenn das passiert, werfen alle Untitled (https://www.notion.so/8f9b118372384c41817b4234398dfa75?pvs=21) eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) ab (https://www.notion.so/ab-3f245ce4bda845e09078a709034e2907?pvs=21).",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,15,,10
Schmied Reckar,,,No,,Tim,"September 15, 2023 11:58 AM",,110,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,"jedes Mal wenn Schmied Reckar (https://www.notion.so/Schmied-Reckar-636af068614141fc943302d0ad14b9c9?pvs=21) angr (https://www.notion.so/gr-67b7334ca6da4432b1b2462f108f30e1?pvs=21)eift, wirf eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) ab.",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,35,,25
Feuerwand,,,No,,Tim,"September 15, 2023 12:01 PM",,111,Erste Ideen,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),,"gegnerisch (https://www.notion.so/gegnerisch-459fafb1da0340bcb0744267999f295f?pvs=21)e Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21), die Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)ich angr (https://www.notion.so/gr-67b7334ca6da4432b1b2462f108f30e1?pvs=21)eifen, erhalten dabei -10 Angriffswert (https://www.notion.so/Angriffswert-08a93843021a40dba6e7e34862f163fa?pvs=21). Deine Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21)e haben -10 Angriffswert (https://www.notion.so/Angriffswert-08a93843021a40dba6e7e34862f163fa?pvs=21).",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,20
Geschlossene Tore,,,No,,Tim,"September 15, 2023 12:02 PM",,112,Erste Ideen,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),,"Untitled (https://www.notion.so/38d8865e0868489d84eed7aab3fdb7d3?pvs=21) zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)en keine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n, wenn sie Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)eine gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21)en Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21)e zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)en. ",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,50
Gebrandmarkter Knappe,,,No,,Tim,"September 15, 2023 12:15 PM",,113,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,"Ist gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21). ",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,40,,45
Gebrandmarkter Ritter,,,No,,Tim,"September 15, 2023 12:16 PM",,114,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,Ist gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21). gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21)e verbündet (https://www.notion.so/verb-ndet-76b6117405774f5ba575df0e30e1fca6?pvs=21)e haben +10/+10.,,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,50,,45
Dem Feuer entronnen,,,No,,Tim,"September 15, 2023 1:00 PM",,115,Erste Ideen,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),,"Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u musst für die nächste Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21), die Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u in diesem Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) spiel (https://www.notion.so/spiel-b5c878a58a374f5282838f3bb3b69799?pvs=21)st, die zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)en Kosten nicht bezahlen.",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,
Feuerstrahl,,,No,,Tim,"September 15, 2023 1:02 PM",,116,Erste Ideen,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),,"Als zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten, bezahle 2 Ignis (https://www.notion.so/Ignis-ca68b053cd74404a8fa85893e505b753?pvs=21). zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)e die gewählte Untitled (https://www.notion.so/bafefdffb74944b09dc4f9de10183b2d?pvs=21).",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,
Magmar,,,No,,Tim,"September 16, 2023 5:35 PM",,118,Erste Ideen,,,"Als zusätzliche Kosten, lege 3 Karten von deiner Hand zurück auf dein Deck in einer beliebigen Reihenfolge. Jedes Mal wenn Magmar (https://www.notion.so/Magmar-2495d9056ea04577aa6e5c57068eeaf6?pvs=21) angreift, ziehe eine Karte.",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,
Im Keim ersticken,,,No,,Tim,"September 16, 2023 5:49 PM",,119,Erste Ideen,,,"Immer wenn Du eine Karte abwirfst, müssen alle anderen Spieler zusammen 3 Mana bezahlen oder eine Karte abwerfen.",,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,
Besungener Baum Juglans,,,No,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),Timon,"September 24, 2023 3:54 PM",,120,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,Einmal pro Spielzug wenn ein Charakter zerstört wird du kannst eine Karte ziehen,,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,0,,55
