ID,Status,Name,Einzigartig,Kartenart,Kartentext-Planung,Kartentext,Flavourtext,Element,⚔️,🛡️,⭕️,Kartentyp,Kosten Aeris,Kosten Aqua,Kosten Ignis,Kosten Magica,Kosten Terra,Kosten Ungeprägt,Erstellt von,Artwork,Art Production,Glossar,Erstellungsdatum,Kritik,Letzte Änderung,Set Release,Zustimmung
68,Backup,Sonntagsmarkt,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),"verkünde (https://www.notion.so/verk-nde-60617eed7ae244bab7664a1d221879c2?pvs=21) einen Entitäten (https://www.notion.so/09a479f6a9da4570a428e67ff08006f4?pvs=21)typ. zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)e Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n von Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)einem Deck (https://www.notion.so/Deck-12e336df2ea64e2194cabce2e4d93d61?pvs=21), bis Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u den verkünde (https://www.notion.so/verk-nde-60617eed7ae244bab7664a1d221879c2?pvs=21)ten Entitäten (https://www.notion.so/09a479f6a9da4570a428e67ff08006f4?pvs=21)typ zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)st. Nimm diese Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) auf (https://www.notion.so/auf-e5bc4ea646fa468aa4d0ee5800a3c5e2?pvs=21) die Hand (https://www.notion.so/Hand-02eed85235d546fc8cd87be30bc8b7c8?pvs=21). Alle anderen so gezogenen Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n werden zwischen allen Untitled (https://www.notion.so/38d8865e0868489d84eed7aab3fdb7d3?pvs=21)n für Untitled (https://www.notion.so/8a43ae64dd89409b80adca5a926d497b?pvs=21)n versteigert, die Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u erhältst.",,,,,,,,,,,,,,Jan Appel,,,,"September 10, 2023 3:05 AM",,"November 23, 2023 9:37 PM",,
69,Backup,Geisterschiff,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,,,,,,,,,,,,,,Jan Appel,,,,"September 10, 2023 3:13 AM",,"November 23, 2023 9:37 PM",,
72,Backup,Wassermann Torlan,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"Wenn Wassermann Torlan (https://www.notion.so/Wassermann-Torlan-831de7267ffa4a5ca40736c2068d30ea?pvs=21) verteidig (https://www.notion.so/verteidig-839e6f9d7cbd46cebaa3c27a3d39a179?pvs=21)t, darfst Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u die Meerjungfrau Marna (https://www.notion.so/Meerjungfrau-Marna-bea5a1b4be7940fdb3c40ddc0b966608?pvs=21) such (https://www.notion.so/such-97002fcad18b4a7ba59c8706c1742c2f?pvs=21)en und spiel (https://www.notion.so/spiel-b5c878a58a374f5282838f3bb3b69799?pvs=21)en.",,,Aqua (https://www.notion.so/Aqua-8c3b1bb2cc364f6ba274d390ac8d3800?pvs=21),20,15,,,,,,,,,Jan Appel,,,,"September 10, 2023 7:24 PM",,"March 27, 2024 9:13 AM",,
73,Idee,Keimling,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),40,10,,Elementarwesen (https://www.notion.so/Elementarwesen-416ecc433e6d4261a4640d1384950176?pvs=21),,,,,,,Jan Appel,,,,"September 12, 2023 10:46 AM",,"April 25, 2024 8:56 PM",,
74,Backup,Kreuzsee,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),"sofort (https://www.notion.so/sofort-9c56f076fccf4157b07459dd557d86d7?pvs=21) spielbar.
neutralisier (https://www.notion.so/neutralisier-c0c9232450044d979cc6456ac433b4cd?pvs=21)e ein Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21) mit Elementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21) 4 oder weniger.",,,,,,,,,,,,,,Jan Appel,,,,"September 12, 2023 5:59 PM",,"November 23, 2023 9:40 PM",,
75,Backup,Küstenböe,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),"sofort (https://www.notion.so/sofort-9c56f076fccf4157b07459dd557d86d7?pvs=21) spielbar.
neutralisier (https://www.notion.so/neutralisier-c0c9232450044d979cc6456ac433b4cd?pvs=21)e eine Untitled (https://www.notion.so/bafefdffb74944b09dc4f9de10183b2d?pvs=21), die kein Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) ist, mit Elementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21) $2x$ oder weniger.",,,,,,,,,,,,,,Jan Appel,,,,"September 12, 2023 6:07 PM",,"November 23, 2023 9:40 PM",,
76,Backup,Klabautermann,No,,,,,,,,,,,,,,,,Jan Appel,,,,"September 12, 2023 6:51 PM",,"November 23, 2023 9:40 PM",,
77,Backup,Neunauge,No,,,,,,,,,,,,,,,,Jan Appel,,,,"September 12, 2023 6:51 PM",,"November 23, 2023 9:40 PM",,
80,Backup,Angebot & Nachfrage,No,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),"Der Untitled (https://www.notion.so/8f9b118372384c41817b4234398dfa75?pvs=21) am Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) darf mit den anderen Untitled (https://www.notion.so/8f9b118372384c41817b4234398dfa75?pvs=21)n handeln: Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n, Elementare und Untitled (https://www.notion.so/8a43ae64dd89409b80adca5a926d497b?pvs=21)n dürfen beliebig gehandelt und geschenkt werden.",,,,0,0,,,,,,,,,Jan Appel,,,,"September 13, 2023 12:28 PM",,"May 2, 2024 11:01 AM",,
81,Backup,Feuerteufel,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"Um diese Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) zu spielen, entferne als zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten einen Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)einer Untitled (https://www.notion.so/4df17cf9d68c430e89f3337925f15637?pvs=21)e aus dem Spiel. Wenn Feuerteufel (https://www.notion.so/Feuerteufel-91745a7a2e964ff797a7e53942c2c5a8?pvs=21) eine gegnerisch (https://www.notion.so/gegnerisch-459fafb1da0340bcb0744267999f295f?pvs=21)e Untitled (https://www.notion.so/bafefdffb74944b09dc4f9de10183b2d?pvs=21) zerstört, erhältst du den Untitled (https://www.notion.so/4df17cf9d68c430e89f3337925f15637?pvs=21) zurück.",,Ein Leben für ein Leben,,40,30,,,,,,,,,Tim,,,,"September 14, 2023 9:18 PM",,"November 23, 2023 9:40 PM",,
82,Backup,Sengende Reinigung,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),"Als zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten, wirf 3 Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n ab (https://www.notion.so/ab-3f245ce4bda845e09078a709034e2907?pvs=21). zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)e alle Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21). Wenn dabei mindestens 3 Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)t wurden, ziehe 2 Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n.",,,,,,,,,,,,,,Tim,,,,"September 14, 2023 9:33 PM",,"November 23, 2023 9:40 PM",,
83,Backup,Versengte Erde,No,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),"Wirf zu beginn Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)eines Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21)s eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) ab (https://www.notion.so/ab-3f245ce4bda845e09078a709034e2907?pvs=21). Wenn Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u dabei mindestens eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) ab (https://www.notion.so/ab-3f245ce4bda845e09078a709034e2907?pvs=21)geworfen hast, dürfen bis zu Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)einem nächsten Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) keine Untitled (https://www.notion.so/bafefdffb74944b09dc4f9de10183b2d?pvs=21)n mehr gespiel (https://www.notion.so/spiel-b5c878a58a374f5282838f3bb3b69799?pvs=21)t werden. Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u darfst Versengte Erde (https://www.notion.so/Versengte-Erde-a2aac141ce69463381cb34a697508649?pvs=21) zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)en.",,,,,30,,,,,,,,,Tim,,,,"September 14, 2023 9:38 PM",,"November 23, 2023 9:40 PM",,
84,Backup,Verrückter Narr,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"Als zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten, wirf eine Karte ab (https://www.notion.so/ab-3f245ce4bda845e09078a709034e2907?pvs=21). Wenn Verrückter Narr (https://www.notion.so/Verr-ckter-Narr-02913adc5fa14825a0b85eb99b7cc5f2?pvs=21) angreift und überlebt, zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)e eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21). Verrückter Narr (https://www.notion.so/Verr-ckter-Narr-02913adc5fa14825a0b85eb99b7cc5f2?pvs=21) muss jeden Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) angreifen.",,,,30,20,,,,,,,,,Tim,,,,"September 14, 2023 9:44 PM",,"November 23, 2023 9:40 PM",,
85,Backup,Funkensprung,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),"zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)e Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n mit insgesamt bis zu 20*x Verteidigungswert (https://www.notion.so/Verteidigungswert-e67635d2fccf454d85d29b869ee8b6ff?pvs=21), wobei x die Anzahl aller in diesem Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) abgeworfenen Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n ist. ",,,,,,,,,,,,,,Tim,,,,"September 14, 2023 9:51 PM",,"November 23, 2023 9:40 PM",,
86,Backup,"Wie du mir, so ich dir",No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),"sofort (https://www.notion.so/sofort-9c56f076fccf4157b07459dd557d86d7?pvs=21) spielbar. Wiederhole den Effekt der soeben vom Untitled (https://www.notion.so/38d8865e0868489d84eed7aab3fdb7d3?pvs=21) gespielten Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21), wobei Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u das neue Ziel definierst.",,,,,,,,,,,,,,Tim,,,,"September 14, 2023 9:56 PM",,"November 23, 2023 9:40 PM",,
88,Backup,Flammengeist,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)e für jede ab (https://www.notion.so/ab-3f245ce4bda845e09078a709034e2907?pvs=21)geworfene Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) eine neue. ",,,,25,15,,,,,,,,,Tim,,,,"September 14, 2023 10:00 PM",,"November 23, 2023 9:40 PM",,
89,Backup,Trümmerfeld,No,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),"Statt eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) auf den Friedhof (https://www.notion.so/Friedhof-e253bfb78fc24f27b12562f1a8bd6a5f?pvs=21) zu legen, lege sie als unterstes unter Trümmerfeld (https://www.notion.so/Tr-mmerfeld-ba3f0690c7474aed932be7426ee6177a?pvs=21). Immer wenn du eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) ziehst, darfst du aussuchen, ob du von deinem Deck (https://www.notion.so/Deck-12e336df2ea64e2194cabce2e4d93d61?pvs=21), oder vom Trümmerfeld (https://www.notion.so/Tr-mmerfeld-ba3f0690c7474aed932be7426ee6177a?pvs=21) ziehst. Wenn Trümmerfeld (https://www.notion.so/Tr-mmerfeld-ba3f0690c7474aed932be7426ee6177a?pvs=21) zerstört wird, lege alle darunterliegenden Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n auf den Friedhof (https://www.notion.so/Friedhof-e253bfb78fc24f27b12562f1a8bd6a5f?pvs=21).",,,,,40,,,,,,,,,Tim,,,,"September 14, 2023 10:03 PM",,"November 23, 2023 9:40 PM",,
90,Backup,Feuersalamander,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"sofort (https://www.notion.so/sofort-9c56f076fccf4157b07459dd557d86d7?pvs=21) spielbar. Wenn Feuersalamander (https://www.notion.so/Feuersalamander-2f7b188a88b0419e9d29d0f4a79b74a4?pvs=21) von einem Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21)  ﻿zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)t wird, wird der zerstörende @ gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21).",,,,10,10,,,,,,,,,Tim,,,,"September 14, 2023 10:15 PM",,"November 23, 2023 9:40 PM",,
91,Backup,Brandmarkender Eid,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),"Alle Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)eine Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) werden gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21) (Wenn sie zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)t werden, zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)t der Zerstörende eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)). zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21) eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) für jeden gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21)en Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21). ",,,,,,,,,,,,,,Tim,,,,"September 14, 2023 10:25 PM",,"November 23, 2023 9:40 PM",,
92,Backup,Gebrandmarkter Krieger,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"Ist gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21). ",,,,45,40,,,,,,,,,Tim,,,,"September 14, 2023 10:31 PM",,"November 23, 2023 9:40 PM",,
93,Backup,Gebrandmarkter Truppenführer,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"Ist gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21). Als zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten, wird eine anderer verbündet (https://www.notion.so/verb-ndet-76b6117405774f5ba575df0e30e1fca6?pvs=21)er Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21).",,,,45,45,,,,,,,,,Tim,,,,"September 14, 2023 10:31 PM",,"November 23, 2023 9:40 PM",,
94,Backup,Den Flammen entkommen,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),"Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u musst für die nächste Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21), die Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u in diesem Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) spiel (https://www.notion.so/spiel-b5c878a58a374f5282838f3bb3b69799?pvs=21)st, die zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)en Kosten nicht bezahlen.",,,,,,,,,,,,,,Tim,,,,"September 14, 2023 10:36 PM",,"November 23, 2023 9:40 PM",,
95,Backup,Finger verbrannt,No,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u musst nicht mehr als 3 Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n in einer Runde (https://www.notion.so/Runde-d203b45604604e129e5015129b597641?pvs=21) abwerfen.,,,,,40,,,,,,,,,Tim,,,,"September 14, 2023 10:40 PM",,"November 23, 2023 9:40 PM",,
97,Backup,Flammenbiest,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"Als zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten, zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)e eine verbündet (https://www.notion.so/verb-ndet-76b6117405774f5ba575df0e30e1fca6?pvs=21)e Untitled (https://www.notion.so/bafefdffb74944b09dc4f9de10183b2d?pvs=21).",,,,70,60,,,,,,,,,Tim,,,,"September 14, 2023 10:43 PM",,"November 23, 2023 9:39 PM",,
98,Backup,Alternativer Schmerz,No,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),"Statt für eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten zu bezahlen, werfe stattdessen eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) ab (https://www.notion.so/ab-3f245ce4bda845e09078a709034e2907?pvs=21). Wenn das passiert, zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)e Alternativer Schmerz (https://www.notion.so/Alternativer-Schmerz-40034790a31740ae80f341b477bf84b4?pvs=21).",,,,,30,,,,,,,,,Tim,,,,"September 14, 2023 10:44 PM",,"November 23, 2023 9:39 PM",,
99,Backup,Brandeisenschmied,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"Immer wenn Brandeisenschmied (https://www.notion.so/Brandeisenschmied-195f78aa5bbe42e6b22ce3371b769d1c?pvs=21) verteidig (https://www.notion.so/verteidig-839e6f9d7cbd46cebaa3c27a3d39a179?pvs=21)t, muss ein nicht-gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21)er Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21)  gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21) werden. Wenn alle Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21) sind, kann Brandeisenschmied (https://www.notion.so/Brandeisenschmied-195f78aa5bbe42e6b22ce3371b769d1c?pvs=21) nicht verteidig (https://www.notion.so/verteidig-839e6f9d7cbd46cebaa3c27a3d39a179?pvs=21)en. ",,,,20,40,,,,,,,,,Tim,,,,"September 14, 2023 10:51 PM",,"November 23, 2023 9:39 PM",,
100,Backup,Feuersturm,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),"Alle gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21)en Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) werden zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)t, ohne dass jemand eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)t.",,,,,,,,,,,,,,Tim,,,,"September 14, 2023 10:59 PM",,"November 23, 2023 9:39 PM",,
101,Backup,Pech und Schwefel,No,Untitled (https://www.notion.so/eff2926a20744f63b63ea77a6d71edd9?pvs=21),"- Wirf 3 oder mehr Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n in einem Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) ab (https://www.notion.so/ab-3f245ce4bda845e09078a709034e2907?pvs=21) → Mische die obersten 10 Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n deines Friedhof (https://www.notion.so/Friedhof-e253bfb78fc24f27b12562f1a8bd6a5f?pvs=21)s in dein Deck (https://www.notion.so/Deck-12e336df2ea64e2194cabce2e4d93d61?pvs=21).
- 3 oder mehr Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21)e sind gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21) → spiel (https://www.notion.so/spiel-b5c878a58a374f5282838f3bb3b69799?pvs=21)e eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) und bezahle weder ihre Elementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21), noch ihre zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)en Kosten.",,,,,60,,,,,,,,,Tim,,,,"September 14, 2023 11:11 PM",,"November 23, 2023 9:39 PM",,
102,Backup,Weltenbrand (alt),No,Untitled (https://www.notion.so/3982764085c2477e827623c38aec8f98?pvs=21),"1. Eine gewählter Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) ist diese Runde (https://www.notion.so/Runde-d203b45604604e129e5015129b597641?pvs=21) ohnmächtig (https://www.notion.so/ohnm-chtig-052e31a81ae24fb5ac51512957908c0d?pvs=21).
2. Spiele Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n für ihre doppelten Elementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21), ohne ihre zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)en Kosten zu bezahlen .
3. Alle gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21)en Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21)e haben diese Runde (https://www.notion.so/Runde-d203b45604604e129e5015129b597641?pvs=21) +30/+30",,,,,50,,,,,,,,,Tim,,,,"September 14, 2023 11:12 PM",,"March 10, 2024 9:56 PM",,
103,Backup,Selbsterkorener Prometheus,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"Als zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten, nimm eine Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)einer Untitled (https://www.notion.so/2b9adcd059614612bb0133aece543b8a?pvs=21)n auf die Hand (https://www.notion.so/Hand-02eed85235d546fc8cd87be30bc8b7c8?pvs=21), Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u darfst sie diesen Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) ohne Elementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21) und ohne zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten spiel (https://www.notion.so/spiel-b5c878a58a374f5282838f3bb3b69799?pvs=21)en. Wenn Selbsterkorener Prometheus (https://www.notion.so/Selbsterkorener-Prometheus-996b38739c594a9bba6b9daa3bb30e58?pvs=21) einen gegnerisch (https://www.notion.so/gegnerisch-459fafb1da0340bcb0744267999f295f?pvs=21)en Untitled (https://www.notion.so/4df17cf9d68c430e89f3337925f15637?pvs=21) zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)t, darfst Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u eine weitere Untitled (https://www.notion.so/2b9adcd059614612bb0133aece543b8a?pvs=21) spielen.",,,,30,40,,,,,,,,,Tim,,,,"September 14, 2023 11:33 PM",,"November 23, 2023 9:39 PM",,
